"";"F1"
"243";0,551316509735328
"244";-0,181587262385017
"245";0,481535949386519
"246";-0,770932646142585
"247";-0,196639554107268
"248";-0,00288616362986689
"249";1,35982038641453
"250";-0,194826298425555
"251";0,739576650388684
"252";-1,934886272392
"253";0,215861911271446
"254";-0,200079435639334
"255";-0,753386115209005
"256";2,05203950420423
"257";0,231002766900702
"258";1,1538042021889
"259";1,11593983136136
"260";0,139201146838459
"261";-0,795285745968304
"262";0,483686739062487
"263";-0,377827837782687
"264";0,600009054897941
"265";2,05203950420423
"266";0,260980345791628
"267";0,512550255436062
"268";-2,30607081856185
"269";0,209859037919975
"270";-0,437310407156863
"271";-0,94956948900472
"272";-0,861710456083987
"273";0,131599882680345
"274";0,214834108709466
"275";0,824911693598507
"276";0,728606521323816
"277";-1,78532672131885
"278";0,0403589736739687
"279";-1,41942420340479
"280";0,456425086048426
"281";1,72193033568128
"282";0,863962315102651
"283";-1,61282106766416
"284";-0,00267781630410913
"285";1,54686794239982
"286";-0,66069298873376
"287";1,35982038641453
"288";1,35982038641453
"289";-0,197147023277576
"290";-0,392086748817917
"291";0,242064589059137
"292";0,459684787739466
"293";0,466871079907321
"294";0,00168993781156336
"295";-0,753380684746244
"296";-0,829568171157393
"297";-1,12475605110862
"298";-0,854143566571404
"299";-1,649719361455
"300";1,15786122314238
"301";0,892965523375946
"302";-1,00985158611754
"303";0,383593963125414
"304";1,42154687986291
"305";1,46830994154841
"306";-1,54246513216047
"307";-1,13028966983353
"308";-0,194316477034861
"309";-1,00236544132233
"310";1,36855664206083
"311";1,06892733453831
"312";-0,307787256613418
"313";-0,048018460907822
"314";0,564047156053226
"315";0,0566898673972284
"316";-1,44619464847799
"317";-0,610229150430148
"318";-0,169053132660989
"319";-1,29977640150426
"320";0,476011191724435
"321";1,15149801143021
"322";1,36135859963275
"323";-1,23548219592591
"324";-0,10348119399445
"325";-0,404278484664576
"326";0,113633280015648
"327";-0,510842582228784
"328";-0,131965392399177
"329";-0,188563691143871
"330";0,416806031447817
"331";-1,08930353718626
"332";0,535165710663909
"333";-0,26101668166786
"334";-0,0628215058240503
"335";1,10579276050587
"336";-0,595804539295136
"337";-0,626158148673047
"338";1,19996007726955
"339";-0,0361303456516048
"340";1,39876907661497
"341";-0,176081376938211
"342";-1,67978345452607
"343";0,72878688977971
"344";0,219368685008757
"345";-1,31179597863599
"346";1,72193033568128
"347";-0,100996028466436
"348";0,493620187000071
"349";0,774503163039106
"350";-0,188563691143871
"351";-0,135124083311817
"352";-0,131043236959725
"353";-0,592524807240206
"354";0,702133589817091
"355";0,609718982526605
"356";-0,877503872069121
"357";-0,514858977434551
"358";-0,56211979878583
"359";0,870974226853704
"360";-0,0800066649389947
"361";-0,213700037613146
"362";-0,935601091939967
"363";1,72193033568128
"364";-0,780251954887017
"365";-0,826561575524234
"366";-0,188428717498944
"367";-0,364621193779875
"368";0,132709950714382
"369";1,1281357060461
"370";-0,920316144687798
"371";-0,128299197778895
"372";-1,91963240008804
"373";-0,266331498133014
"374";-1,04040323318879
"375";1,10680028485661
"376";0,321349687284926
"377";-0,319948302070569
"378";-0,452935311895956
"379";-0,0205256154730125
"380";-0,162111737010848
"381";-0,207076350568846
"382";1,33763294558669
"383";-1,27574556962227
"384";-1,22036714130784
"385";2,05203950420423
"386";-0,620479974884436
