"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20"
"1";0,998974361584446;0,591106037899197;0,409028957700004;0,999993546844944;0,965929600561348;0,660651484946865;0,855356535873858;0,999262676936545;0,037081908126543;0,990838140781584;0,921441753945997;0,99427735228731;0,920239340664421;0,987203702134986;0,940446418339259;0,856070920038711;0,766067975098439;0,562326717108194;0,985553357529167;0,867777372250181
"2";0,987536721645645;0,128467637493921;0,0493217751568171;0,99991960973716;0,71198285212093;0,202070351150569;0,362094201129226;0,994060786548655;0,00352806500984641;0,922891660689582;0,604094319295537;0,939227628391023;0,481862067606794;0,924921765562098;0,572853026071462;0,417985969566736;0,344435012975136;0,181724548383763;0,857046837478843;0,40062822168316
"3";0,995262934368424;0,263626754011812;0,124353016431816;0,99996983842224;0,864506875616708;0,358776901046659;0,585299994899807;0,99735683043446;0,00887269273410401;0,965704253176722;0,771228226405049;0,975358352418896;0,71221255578851;0,961735084618727;0,7776366440085;0,62025424840075;0,516894721721601;0,305239194281417;0,939124895956798;0,61892405311902
"4";0,999250236802055;0,657888323061454;0,488961127995885;0,999995291800947;0,974656982857251;0,715270562283958;0,887968508919254;0,999432191874939;0,0493343157104989;0,993026377078199;0,938023203371664;0,995764500308903;0,940494806999418;0,989798971584643;0,955540218858556;0,885670840151747;0,80454464910601;0,615384022894891;0,989299206210095;0,897242480303357
"5";0,938180357891177;0,0317223513865078;0,0093274108131629;0,999576696184414;0,3313723349775;0,0619822471169026;0,108128155997977;0,976853737900216;0,000734503697465038;0,737368702705338;0,284769759943327;0,758423559589269;0,15041499056772;0,786295584970834;0,209014834501678;0,15140529285164;0,135998675793654;0,065316704265382;0,547143578083657;0,129256642157953
"6";0,877092238174966;0,0162207096491324;0,00430106359379758;0,999096581415853;0,192216898491184;0,0345461109163349;0,0565301457414816;0,95744644395398;0,000358462706907537;0,591544985483279;0,177367103243703;0,602615776973948;0,076657001183652;0,679402177407844;0,111800283332445;0,086321387291977;0,0832317428342245;0,0395875810871429;0,367679725081184;0,0694920728300074
"7";0,904096907580182;0,0208005240387428;0,00572551787408351;0,9993169978314;0,237769823352331;0,0429437869972441;0,0721093393763298;0,965960499195591;0,000467107156850995;0,64899433073959;0,212828125142621;0,664827930371159;0,0989257082586582;0,722040042885677;0,141992947120903;0,106709300433244;0,100094876963623;0,0476948939983412;0,432334532711692;0,0877812976125732
"8";0,916595221107896;0,0238413985753502;0,00670139462891418;0,999414530638928;0,265841822535954;0,0483698753723965;0,0823013393253611;0,96992270905038;0,000540431785481809;0,678997871749458;0,234460380360834;0,696943746697896;0,113518526522663;0,743976472946343;0,161365652365432;0,119667725635755;0,110629986937972;0,0528115971629752;0,469116682554565;0,099624525390381
"9";0,984103589270979;0,105349657652693;0,0386552895495014;0,999896974262463;0,660397652784153;0,17164346049251;0,310710213508279;0,992714049755737;0,00279193194191392;0,906003492974668;0,555258453719286;0,924136176019388;0,42060804635481;0,911390227427795;0,512732813691978;0,368422096055326;0,305004634202855;0,157444875900223;0,825170942129081;0,348069351237942
"10";0,998855742857622;0,566808959310885;0,381989112881;0,999992795447197;0,962244286169614;0,640408154678159;0,842229651487526;0,999192223346112;0,0335349983644175;0,989923112989265;0,914748158331842;0,99364366054216;0,911786232787279;0,986151214149062;0,934121673209007;0,84431852366637;0,751445699974407;0,543381014434782;0,983960859376085;0,855906713907855
"11";0,999777868694088;0,853379012011856;0,770750285710839;0,999998614879775;0,992099957466648;0,871070547098215;0,961093759158878;0,999794051921864;0,141744515968735;0,997591509825271;0,976021391266655;0,998686437549313;0,981689885736883;0,995785000016105;0,986127075470705;0,955753565932743;0,909086227654829;0,78942128193329;0,996685863247346;0,963560493197125
"12";0,947638065035797;0,0370306192640217;0,0111664578479054;0,999645344813493;0,370334895223208;0,0708444964606933;0,125039989547903;0,979950136832887;0,000868307923385313;0,766169930686358;0,314795185048698;0,78815823362925;0,174418182717495;0,807131895742066;0,239063526713316;0,17146741688081;0,151804442655302;0,0732518681943137;0,588989286370696;0,148395190006248
"13";0,854511364961646;0,0136223571155609;0,00352030438332694;0,998901415561736;0,164512097676725;0,0296378744188039;0,0475754472918635;0,950318442165757;0,000297863752065721;0,549710210250702;0,155434643925878;0,556893372227938;0,0639169201202922;0,647628149038195;0,094158030850602;0,0742274088340172;0,0730160822776617;0,0347202760006653;0,324989342459571;0,0588658965098132
